"author_id","total_ratings","total_reviews","avg_ratings"
"3674844","769","354","(3.93"
"1705151","482","78","(3.78"
"284147","215","84","(3.48"
"6479946","				130","				27"," 3.60"
"306944","				801","				511"," 3.68"
"3457572","1627","678","(3.11"
"1402752","313","172","(3.99"
"2221294","395","127","(3.10"
"95264","657","22","(3.46"
"5983777","87","8","(3.59"
"2120450","1661","716","(3.49"
"5429423","952","290","(3.27"
"5916705","386","207","(3.71"
"1068763","				946","				386"," 3.53"
"6538160","257","41","(3.37"
"1052990","253","87","(4.81"
"10496771","				54","				3"," 3.61"
"9777337","644","211","(3.45"
"991044","139","465","(3.81"
"4082038","124","        46","4.07"
"7437700","319","2","(3.69"
"5739107","180","        48","3.67"
"1524599","475","127","(3.25"
"4988551","559","445","(3.80"
"6861465","				47","				3"," 3.81"
"5954622","12","2","(4.42"
"5631577","				125","				10"," 4.36"
"5382118","				184","				24"," 3.58"
"28382684","31","0","(3.32"
"8495028","427","174","(3.75"
"33510640","71","8","(3.83"
"3365398","180","7","(4.18"
"877807","170","108","(3.50"
"2016666","				1656","				638"," 3.09"
"28450822","65","3","(3.69"
"20602083","329","29","(3.91"
"5963543","				784","				325"," 3.37"
"53517159","223","11","(3.48"
"50925632","109","37","(3.83"
"370770","				225","				186"," 3.50"
"1208350","862","330","(3.68"
"61806","				808","				693"," 3.73"
"3017588","659","202","(4.24"
"200086","279","46","(3.67"
"1996800","				70","				28"," 3.46"
"3592110","665","81","(3.55"
"5952871","64","29","(3.80"
"1455501","441","79","(3.98"
"29680013","64","17","(4.16"
"11782946","311","265","(4.12"
"17236968","214","208","(4.05"
"762758","627","106","(3.91"
"5855961","146","48","(3.55"
"872942","2567","2547","(3.38"
"1865822","518","        89","3.31"
"5937201","356","268","(3.57"
"23732182","28","17","(4.04"
"3662946","				183","				30"," 3.49"
"203107","				747","				504"," 3.44"
"5709945","314","33","(3.04"
"39169426","278","8","(3.99"
"16810336","138","20","(4.36"
"4311385","232","205","(4.09"
"3097045","1706","522","(3.12"
"15928872","1147","925","(3.41"
"4367942","286","59","(3.66"
"2573562","252","87","(3.29"
"2056419","473","442","(3.46"
"5287575","				292","				114"," 3.70"
"98569","309","211","(3.71"
"726166","198","97","(3.85"
"7832157","1314","717","(3.51"
"30815176","143","26","(4.16"
"4421700","				241","				11"," 3.92"
"5136858","2130","1144","(3.56"
"5226261","426","234","(3.94"
"919465","470","85","(4.10"
"5691412","287","154","(3.60"
"336496","598","563","(3.75"
"29126442","205","182","(3.77"
"58464984","47","47","(3.30"
"59903212","34","4","(3.82"
"5882624","425","92","(4.18"
"5460575","				1443","				1019"," 3.67"
"50958963","37","19","(4.22"
"67236","648","489","(3.65"
"2884323","				959","				429"," 3.08"
"10762842","				712","				646"," 3.62"
"3862046","937","787","(3.28"
"355321","266","253","(3.30"
"12034546","300","201","(3.88"
"7478704","				301","				194"," 3.92"
"1402123","1970","        1553","4.50"
"126589","838","959","(3.62"
"1621569","907","892","(4.09"
"15775153","311","26","(3.16"
"1781097","1072","922","(3.47"
"3938597","				584","				18"," 3.65"
"9282947","307","13","(4.06"
"1864484","				313","				118"," 2.81"
